# English-Japanese Vocabulary List

begin - 始まる、始める

work - 働く、作業する、うまくいく

company - 会社

order - 注文、順番

employee - 社員、従業員

information - 情報

receive - 受け取る

last - 続く

need - 〜を必要とする、〜する必要がある

travel - 旅、出張

job - 仕事

find - 見つける、思う

department - 部、部署、売り場

let - 〜させる

visit - 訪れる

also - 〜もまた

sure - 確かな、もちろん、必ず

leave - 出発する、残す、辞める、〜のままにする

sales - 営業、売り上げ

move - 動かす、動く、引っ越す

arrive - 到着する、届く

hold - (イベントを)行う、手に持つ

return - 戻る、戻す

opening - (店などの)オープン、仕事の空き

soon - もうすぐ

sign - 署名する

able - できる

few - 少数の、少しの

pay - 支払う

trip - 出張、旅行

sell - 売る、売れる

several - いくつかの、数名の

hear - 聞く

still - まだ、依然として、それでもなお

later - あとで

different - 異なる、違う

close - 近い

stay - 滞在する、とどまる、〜のままでいる

already - すでに

present - 与える、示す

factory - 工場

interested - 興味がある

cover - 覆う、報道する、含む、扱う

choose - 選ぶ

apartment - アパート、マンション

paper - 書類、紙

note - 注意する、述べる

both - 両方とも

either - どちらか

neither - どちらも〜ない

ago - 前に

finish - 終える、終わる

hope - 願う、望む、期待する

part - 一部、部分、部品

important - 重要な

mail - 郵送する

once - 一度、かつて

run - 続く、運営する、作動させる、走る

bring - 持ってくる、連れてくる、連れて行く

place - (注文や広告などを)出す、置く

become - 〜になる

ready - 準備ができて

closed - 閉まっている

enter - 入る、入力する、エントリーする

happen - 起こる

customer - 顧客

past - 過去の

same - 同じ

early - 早く

join - 加わる、参加する

decide - 決める

plant - 植物、工場、植える

pleased - 喜んで、満足して

enough - 十分に、十分な、十分

film - 映画、映画を撮影する

case - 場合、ケース

meal - 食事

someone - 誰か

always - いつも

piece - 1個、1つ、作品、記事

carry - 持ち運ぶ、携行する、(商品を)扱う

ship - 出荷する、船

reach - 連絡を取る、情報を伝える、達する

remember - 覚えている、思い出す、忘れずに〜する

field - 分野、野原

dish - 料理、皿

post - 掲示する、投稿する

sound - (見聞きして)〜のように思える、音

break - 休憩、壊す、壊れる

seem - 〜のように思える

build - 建てる、築く

necessary - 必要な

believe - 信じる、きっと〜だと思う

grow - 成長する、伸びる、育てる

though - だけど、〜にもかかわらず

kind - 種類、親切な

miss - 逃す、いなくてさびしく思う

spend - (お金や時間を)使う、費やす、(時間を)過ごす

busy - 忙しい、混んでる

save - 節約する、保存する、取っておく

map - 地図

ride - 乗る、車に乗せること

almost - もう少しで、ほとんど、〜に近い

goods - 品物

quickly - すばやく

wide - 幅広い

famous - 有名な

power - 電力、権力、力

book - 予約する、本

wrong - 間違った

play - 劇、演奏する、演じる、プレーする、遊ぶ

usual - 通常の、いつもの

certain - 確かな、ある決まった、特定の

difficult - 難しい

store - 保管する、保存する、店

clear - はっきりした、わかりやすい、片付ける

forget - 忘れる

rise - 上がる 上昇

chance - 可能性、機会

draw - （ペンや鉛筆で絵を）描く、引く

glad - うれしい

warm - 温かい、暖かい

matter - 事柄、問題、件、重要である

useful - 役立つ

refer - 参照する、紹介する、〜についてである、言及する

safe - 安全な

simple - 単純な、簡単な、シンプルな

discover - 発見する

park - 車を停める、公園

promise - 約束する、約束

proud - 誇りに思う

pretty - かなり、かわいい

noise - 騒音

perhaps - もしかすると、たぶん、よろしければ

farm - 農場、農園、農地

product - 製品

invite - 招待する、求める

offer - 申し出る、提供する、申し出、オファー

provide - 提供する

include - 含む

report - 報告書、報告する、出向く

problem - 問題

likely - おそらく、｜〜しそうだ

request - 〜を求める、頼む、依頼、要請

cost - （費用が）掛かる、費用

complete - 完了させる、完成させる、記入する、完了した

form - 用紙、フォーム、結成する

experience - 経験、〜を経験する

attend - 出席する、参加する

announce - 発表する

position - 職、位置、位置に置く、位置を合わせる

repair - 修理、修理する

local - 地元の、地域の、地元の人

purpose - 目的

discuss - 話し合う

expect - 予期する、予定する

increase - 増やす、増える、増加

mention - 述べる

tour - 見学、旅行、見学する、旅行する

charge - 料金、責任、請求する、充電する

discount - 割引、割引にする

research - 調査、研究、調査する、研究する

hire - 雇う、採用者

recently - 少し前に

main - 主な、主要な

account - 口座、アカウント、取引先、説明、説明する、（割合を）占める

international - 国際的な、海外の

copy - （本・雑誌等の）冊・部、コピー、コピーする

probably - おそらく

process - 工程、手続き、処理する

result - 結果、生じる、（結果に）終わる

president - 社長

material - 材料、資料

record - 記録、記録的な、記録する

apply - 応募する、申請する、適用する

detail - 詳細、詳しく述べる

rate - 料金、割合、評価する

industry - 産業、業界

public - 公共の、一般の、一般の人

yet - まだ、もう

possible - 可能な

furniture - 家具
